Sokoban - seznam zadání 

id: 31;Store 2a
####
# .#
#  ###
#*@  #
#  $ #
#  ###
####

id: 32;Store 2b
  ####
###  ####
#     $ #
# #  #$ #
# . .#@ #
#########

id: 33;Store 2c
#####
#.  ##
#@$$ #
##   #
 ##  #
  ##.#
   ###

id: 35;Store 2d
     ###
######@##
#    .* #
#   #   #
#####$# #
    #   #
    #####

id: 59;Store 2e
 ######
 #    #
##$ . #
#  @  #
# $#. #
#  ####
####

id: 60;Store 2f
  ####
###  #
#  *@#
#  $.##
###   #
  #   #
  #####

id: 61;Store 2g
 #######
## @   #
# $.   #
# .$####
##  #
 #  #
 ####

id: 62;Store 2h
  ####
  #  #
###  #
#   @##
# *$. #
###   #
  #####

id: 63;Store 2i
  ####
  #  #
  #  #
### @##
# *$. #
#     #
##  ###
 ####

id: 64;Store 2j
  ######
  #    #
###    #
#   @###
# *$.#
###  #
  ####

id: 65;Store 2k
 ######
 #    #
##$ . #
#  @  #
# $#. #
#  ####
####

id: 66;Store 2l
####
#  #
# @#
#.$###
#    #
#.$# #
##   #
 #####

id: 85;Store 2m
 #####
## @ ####
#  #  . ##
# #      #
# $$ #.  #
##    ####
 ##   #
  #####

id: 86;Store 2n
   ####
####  #
#@.*  #
#  #  ###
####  $ #
   #  # #
   ##   #
    #####

id: 90;Store 2o
 ##### #####
 #   ###   #
 #@$  ##.. #
###$#      #
#   ## ##  #
#       ####
#   #   #
#########

id: 110;Store 2q
########
###  ###
###$ ###
# $..@ #
#      #
########

id: 111;Store 2r
########
#  #####
# .$ $ #
#    .@#
###  ###
########

id: 36;Store 3aa
 ####
 #  ####
 #     ##
## ##   #
#. .# @$##
#   # $$ #
#  .#    #
##########

id: 37;Store 3ab
#####
# @ #
#...#
#$$$##
#    #
#    #
######

id: 38;Store 3ac
  ####
###  #
#   @#
# .$ #
# *$##
# . #
#####

id: 39;Store 3ad
#######
# $.  #
# .   #
# .@###
# $ $ #
###   #
 #####

id: 40;Store 3ae
  ####
  #  ###
###.@. #
#  $.# #
#   $  #
#### $##
   #  #
   ####

id: 41;Store 3af
#####
#.  #
# #$###
#@# $ #
# $  .#
# ##. #
#     #
#######

id: 42;Store 3ag
   #####
   #   #
####$# #
#@$    #
# #...##
# $ # #
###   #
  #####

id: 43;Store 3ah
#####
#   #
# # ####
# $@$  #
##$  # #
 # # # #
 #  ...#
 #######

id: 44;Store 3ai
   ####
   #  #
   #  #
####  ####
#   # $@ #
#     $$.#
### ###  #
 ## .#####
 #   #
 #.  #
 #####

id: 45;Store 3aj
  ####
###  ####
#    #@.#
#    $$.#
#  ## $.#
#####   #
    #####

id: 50;Store 3ak
 #####
 #   ##
##.#$ ##
# $    #
#. .#$ #
### @ ##
  # # #
  #   #
  #####

id: 51;Store 3al
 #####
 #   #
##$# ###
#  .$@ #
# #  # #
# #..$ #
#   ####
#####

id: 52;Store 3am
    #####
   ##   ##
  ## .#  #
 ##   @  #
##  * #  #
#  $ #####
# * ##
#  ##
####

id: 53;Store 3an
####
#  ####
#     #
#     #
### ###
# $$$ ##
# ...@ #
####   #
   #####

id: 54;Store 3ao
#####
